aerobic capacity,NCT01125436
cocaine dependence related impairments in motivation for change and in cue induced arousal,NCT01790490
mucopolysaccharidosis iva,"NCT01515956,NCT01609062,NCT01697319"
colorectal tumors,NCT01139138
stage iic colon cancer,"NCT00002968,NCT01656746,NCT01726296,NCT01787409"
arteritis,NCT01323504
nafld,"NCT01355575,NCT01807910"
parkinsons disease with dementia,NCT01785628
unresectable soft tissue sarcoma,NCT01514188
patients with acute pancreatitis,NCT01247961
behavioral research,NCT01231256
chronic ischemic heart disease,"NCT01666132,NCT01727063"
patients with suspected invasive candidiasis,NCT01773876
heavy drinking,"NCT01638364,NCT01764685"
human epidermal growth factor 2 negative carcinoma of breast,NCT01548677
immunity to oral polio vaccine,NCT01616693
hodgkin or non hodgkin lymphoma,NCT01621477
cannabis intoxication,NCT01798186
neonatal acute renal failure in preterm,NCT01785238
transplantation infection,"NCT01808456,NCT01349738,NCT01276457,NCT01471444,NCT01767350"
gastrointestinal stroma tumor,NCT01402089
needs for rehabilitation,NCT01638741
end stage ankle arthritis esaa,NCT01620541
coronary plaque embolization,NCT01268319
cardiac catheterization,"NCT00667381,NCT01157338"
other solid tumours,NCT01792310
prostatic neoplasm,"NCT01337518,NCT01431391,NCT01540994"
aortic valve disease,"NCT01808287,NCT01808274,NCT01631188"
brain neoplasms,"NCT01128218,NCT01244737,NCT01582152,NCT01642147"
functional status,NCT01231711
severe facial deformity,NCT01281267
human volunteers,"NCT01618877,NCT01618903"
sleep bruxism,NCT01336439
malaria vaccines,NCT00197028
post surgery phase,NCT01392404
recurrent rectal cancer,"NCT01806675,NCT00005818,NCT00060411,NCT00031681,NCT00101348,NCT00138177,NCT01590147,NCT01814501,NCT00084643"
stage ii childhood anaplastic large cell lymphoma,NCT00040846
inhalation injury,NCT01773083
menopausal syndrome,"NCT01698164,NCT01741974"
suicidal ideation,"NCT01398891,NCT01408654,NCT01507181,NCT01544127,NCT01700829"
t cell prolymphocytic leukemia,NCT01186640
cytochrome p450 cyp3a enzyme deficiency,NCT01289756
stage ivc follicular thyroid cancer,NCT01811212
non complicated skin and soft tissue infections,NCT01076049
acute hit ii heparin induced thrombocytopenia type ii,NCT01304238
other arthritic conditions eg psoriatic arthritis,NCT01463189
brain tumors,"NCT00003203,NCT00040911,NCT01100658,NCT01212237,NCT01518413,NCT01802567"
infants,"NCT01575184,NCT01664234"
pregnancy,"NCT01826604,NCT00620672,NCT00669396,NCT01074112,NCT01087047,NCT01088425,NCT01093144,NCT01115140,NCT01126528,NCT01132950,NCT01176019,NCT01187719,NCT01192074,NCT01222247,NCT01221844,NCT01231126,NCT01243554,NCT01243216,NCT01252706,NCT01279109,NCT01318304,NCT01351428,NCT01387646,NCT01411878,NCT01414777,NCT01422122,NCT01436448,NCT01459458,NCT01461187,NCT01465867,NCT01466530,NCT01519765,NCT01523249,NCT01532310,NCT01549171,NCT01550640,NCT01552213,NCT01576458,NCT01577316,NCT01579617,NCT01587378,NCT01605474,NCT01610323,NCT01616147,NCT01621230,NCT01631747,NCT01643356,NCT01648114,NCT01669941,NCT01675180,NCT01676636,NCT01678079,NCT01684592,NCT01687972,NCT01694862,NCT01696201,NCT01708239,NCT01713712,NCT01718236,NCT01723293,NCT01736826,NCT01740310,NCT01746758,NCT01753622,NCT01766089,NCT01772901,NCT01773629,NCT01784575,NCT01790347,NCT01790412,NCT01800825,NCT01810406,NCT01811719,NCT01819519,NCT01820221,NCT01821222,NCT01827995,NCT01828138"
tracheal intubation morbidity,"NCT01289769,NCT01351259,NCT01369381,NCT01474252"
thyroid nodule,"NCT01320813,NCT01649206"
shoulder fractures,NCT01687374
gastrointestinal bleeding,"NCT01806090,NCT01335516,NCT01434108,NCT01675856"
non hodgkins lymphomas,NCT01567475
anterior knee pain syndrome,NCT01434966
thyroid carcinoma,NCT01707056
upper gi cancer,NCT01829178
markers of cardiovascular risk,NCT01369550
autosomal dominant polycystic kidney disease adpkd,"NCT01223755,NCT01616927"
persistent fetal circulation syndrome,"NCT01389856,NCT01558466"
sleep apnea syndrome,"NCT00001723,NCT01164631,NCT01196845,NCT01796769"
pain associated with post herpetic neuralgia,NCT00617461
oxytocin augmentation for labor,NCT01182038
obese,"NCT01429194,NCT01826604,NCT01833507,NCT01307644,NCT01345500,NCT01388673,NCT01424007,NCT01479933,NCT01505387,NCT01549626,NCT01606813,NCT01634048,NCT01660685,NCT01693250,NCT01700530,NCT01724515,NCT01736748,NCT01796067,NCT01811069"
hematopoietic syndrome due to acute radiation syndrome,NCT01742221
localized primary osteoarthritis of hip,NCT01765296
difficult intubation,NCT01532063
hypothalamic pituitary dysfunction,NCT01653743
mental stress,NCT01645566
dense deposit disease,NCT01221181
hip and knee osteoarthritis,NCT01601951
pseudoxanthoma elasticum,NCT01525875
erythema,NCT01659853
child,"NCT01572558,NCT01680471"
nutritional disease,NCT01457612
stage ivc salivary gland cancer,"NCT01806675,NCT01824823,NCT00088907,NCT00114283,NCT01613768,NCT01637194,NCT01696955,NCT01816984"
hypercholesterolemia dyslipidemia,NCT00935259
adenovirus disease,NCT01241344
epiretinal membrane,"NCT01410201,NCT01627977,NCT01630876,NCT01701518,NCT01771939,NCT01820520"
gastroesophageal reflux,"NCT00300755,NCT00627016,NCT00847808,NCT01135368,NCT01307982,NCT01364610,NCT01493089,NCT01551134,NCT01669330"
inpatient,NCT01612169
mild to moderate hypertension,NCT01601470
organ dysfunction syndrome,NCT01486121
pneumocystis jiroveci pneumonia,NCT00080119
miosis disorder,NCT01693575
cardiorenal syndrome cardiac repair kidney repair chronic allograft nephropathy,NCT01265615
type i gaucher disease,NCT01463215
boxers fracture,NCT01759758
intubation difficult,"NCT01375634,NCT01474213,NCT01616771,NCT01691703"
stress urinary incontinence,"NCT00746863,NCT01137539,NCT01337193,NCT01355133,NCT01455779,NCT01602107,NCT01608789,NCT01648491,NCT01676662,NCT01763957"
acromio clavicular joint dislocation type iii,NCT01110304
stem cell transplant patients,NCT01324427
aids related immunoblastic large cell lymphoma,NCT01727102
motor function after a recent ischemic stroke,NCT01406912
automobile driving,NCT01257165
sclerosis systemic,NCT01559129
219b7cbf0643140b15f7e9699b1372b8,NCT01795040
health behaviors,NCT01825746
pseudo gout,NCT01529099
improvement of functionality,NCT01539200
complication postoperative,NCT01391988
noncontiguous stage ii mantle cell lymphoma,"NCT01805037,NCT00096161,NCT01273766"
anger,"NCT01093053,NCT01228539,NCT01551732"
women wanting contraceptive implant for pregnancy prevention,NCT01684358
persistent asthma,NCT01147510
edentulism,NCT01340170
ecoli,NCT01824888
infection associated with catheter,"NCT01359046,NCT01365312"
hypoparathyroidism,NCT01199614
pulled elbow,NCT01562535
performance of a new supraglottic airway device in children,NCT01625078
endoscopy digestive system,NCT00452426
impact of food composition on gastric emptying,NCT01383902
cerebral aneurysm,"NCT01460563,NCT01655784,NCT01690364"
high cardiovascular risk,NCT01505959
endometrial carcinoma,"NCT00483327,NCT01184053"
occupational therapy,NCT01094002
intraoperative complications,NCT01378559
laparoscopic colon surgery,NCT01418144
t cell non hodgkin lymphoma,NCT01746173
intrathecal morphine,NCT01236859
disruption or dehiscence of closure of sternum or sternotomy,NCT01466829
alopecia totalisuniversalis,NCT01314495
hemmorhagic shock during air medical transport,NCT01818427
non invasive cardiac output monitoring,NCT01898975
brain diseases,"NCT01395472,NCT01414582,NCT01696591"
adenoma,"NCT01546220,NCT01546246,NCT01546259,NCT01584817"
video assisted thoracoscopic surgery,NCT01615263
bradyarrhythmias,NCT01717469
sevoflurane anesthesia,NCT01571804
focus avocado consumption vascular health,NCT01595607
dental anesthesia,NCT01474382
recurrent childhood b lymphoblastic lymphoma,NCT01700946
total knee replacement surgery,NCT00927368
orthopoxviral disease,"NCT00728689,NCT00907803"
intrusion,NCT01642693
stage iii non small cell lung cancer,"NCT01576796,NCT01733589"
unipolar major depression,"NCT01832805,NCT01219686"
kras mutated colorectal cancer,NCT01646554
acute gvh disease,"NCT01713400,NCT01754454"
hemifacial spasm,"NCT01546805,NCT01564979,NCT01598961,NCT01613781"
neurofibromatosis 2,NCT01490476
intraocular melanoma,NCT00952939
mechanically ventilated,NCT01552616
mps iva,"NCT01415427,NCT01515956,NCT01609062,NCT01697319"
nutritional intervention,NCT01497249
perioperative psychology,NCT01141010
japanese encephalitis,"NCT00981175,NCT01190228,NCT01246479,NCT01386827,NCT01396512"
distal ulcerative colitis,NCT01586533
neurogenic urinary bladder disorder,NCT01530620
methemoglobinemia,NCT01402869
adolescent relationship abuse,NCT01678378
depressive disorder minor,NCT01583400
mature teeth,NCT01224925
effect on vascular function,NCT01479699
diabetes mellitus type 2 in obese,NCT01364350
stage iv nasopharyngeal carcinoma,"NCT01616849,NCT01655628"
acute leukemias,NCT01826214
thyroid eye disease,NCT01738243
stage ii verrucous carcinoma of the oral cavity,"NCT01164566,NCT01588613,NCT01718223"
caregiver,"NCT01211340,NCT01777490"
precursor b cell lymphoblastic leukemia,NCT01483690
esophageal cancer stage i,NCT01733719
claudication,"NCT01341340,NCT01359423,NCT01413139,NCT01602159"
iron chelation,NCT01349699
salivary gland cancer,"NCT01344356,NCT01528137,NCT01703455"
right ventricular overload,NCT01317329
hiv 1 infection,"NCT00534352,NCT01082692,NCT01127464,NCT01213316,NCT01296152,NCT01319383,NCT01335529,NCT01348308,NCT01352117,NCT01352715,NCT01378156,NCT01427738,NCT01435018,NCT01439841,NCT01446718,NCT01453192,NCT01511809,NCT01549119,NCT01627678,NCT01637233,NCT01641367,NCT01712256,NCT01772940"
modifications of enocannabinoid levels,NCT01561846
open label,NCT01789528
hypogonadal males,NCT01346319
severe insufficient nutrition,NCT01303289
lactic acidmetabolism,NCT01591226
untreated childhood gliosarcoma,NCT02020720
assessment of serum immune regulatory cytokine,NCT01368224
post menopausal,NCT01443455
vascular access complication,NCT01794325
pharmacokinetics of dextromethorphan,NCT01651325
rett syndrome,"NCT01147575,NCT01253317,NCT01520363,NCT01703533"
relapsedrefractory multiple myeloma,"NCT01102426,NCT01160484,NCT01794520,NCT01794507"
patients with migraine and pfo,NCT01280578
stage iv uveal melanoma,NCT01473004
survival,"NCT01120730,NCT01125020"
amputation stumps,"NCT01632709,NCT01645722"
ovarian function restoration after chemotherapy for lymphoma,NCT01160315
metastatic intraocular melanoma,NCT01835145
early postmenopause,NCT01177761
not celiac wheat sensitivity,NCT01762579
adolescent idiopathic scoliosis,"NCT01451788,NCT01550497,NCT01581021,NCT01760434,NCT01776736,NCT01792609,NCT01813058"
diplopia,NCT01119144
b cell adult acute lymphoblastic leukemia,"NCT00052520,NCT01769209"
ventilator associated pneumonia,"NCT01083407,NCT01118403,NCT01314742,NCT01501227,NCT01583413"
conductive hearing loss,"NCT01807559,NCT01264510,NCT01671176"
mallet finger,NCT01388751
communication impairments related to stroke,NCT01654029
idiopathic short stature,"NCT00965484,NCT01246219,NCT01248416"
meniscal tear,NCT01406561
malnutrition,"NCT00998517,NCT01832636,NCT01129089,NCT01141166,NCT01154803,NCT01190969,NCT01240031,NCT01258647,NCT01282788,NCT01303016,NCT01312987,NCT01314937,NCT01342861,NCT01407224,NCT01415635,NCT01432769,NCT01584310,NCT01590095,NCT01643187,NCT01647204,NCT01704105,NCT01715038,NCT01718769,NCT01741870,NCT01775150,NCT01785680,NCT01831310"
complication of injection,NCT01401049
respiratory distress newborn,NCT01514331
reverse oblique subtrochanteric fractures,NCT01128868
abscesses,NCT00513799
plaque psoriasis,"NCT00581100,NCT00927069,NCT01111123,NCT01230138,NCT01235728,NCT01317017,NCT01566578,NCT01610596,NCT01646073,NCT01670513,NCT01700985,NCT01707368,NCT01726933"
monoclonal gammopathy of undetermined signification,NCT01543100
renal transplant,"NCT00478608,NCT01224860,NCT01244659,NCT01334333,NCT01541176"
elective open thyroidectomy,NCT01571804
child syndrome,NCT01110642
hepatitis c chronic,"NCT00081770,NCT00087633,NCT00202839,NCT00302081,NCT00353418,NCT00394277,NCT00423800,NCT00493805,NCT00724854,NCT00728494,NCT01271790,NCT01329978,NCT01356160,NCT01364090,NCT01371578,NCT01371604,NCT01435044,NCT01435226,NCT01458054,NCT01463592,NCT01579162,NCT01590407,NCT01636778,NCT01648140,NCT01760148,NCT01725529,NCT01770483,NCT00166296"
haemophilus influenzae infections,NCT01362517
tuberous sclerosis complex,"NCT01289912,NCT01730209"
multiple,NCT01609816
cerebral venous thrombosis,NCT01796015
computerized decision support systemsquality improvement,NCT01773057
knee joint arthritis,NCT01503528
levelamount of dha in mothers breast milk and blood,NCT01732874
hereditary angioedema types i and ii,"NCT01832896,NCT01576523"
acute pediatric pancreatitis,NCT01423786
effect of exercise on cognitive function,NCT01603784
urinary renal or ureteral stones,NCT01222325
homozygous familial hypercholesterolemia,NCT01412034
coronary vessel disorders,NCT01759719
syphilis,"NCT01317784,NCT01465607,NCT01530672,NCT01540227"
complicated intra abdominal infection,"NCT01147640,NCT01265784"
advance care planning,NCT01346176
opioid induced constipation,"NCT01401985,NCT01696643"
spinal cord injury sci,"NCT01771159,NCT01772810"
fluid therapy,NCT01774214
solar elastosis,NCT00647556
study mammography adherence among chinese women,NCT01292200
pegfilgrastim induced back and leg pain,NCT01311336
break through pain,NCT01429051
localized her2 positive esophagogastric cancer,NCT01769508
segmental vitiligo,"NCT01377077,NCT01640678"
adenocarcinoma of head of pancreas,NCT01677988
postoperative pulmonary function,NCT01804933
cardiovascular check up in patients with rheumatoid arthritis,NCT01566851
inflammatory disease,"NCT01567553,NCT01695876"
insulin effects on the qtqtc interval,NCT01642485
major orthopaedic surgery and renal impairment,NCT00555438
pleural diseases,"NCT01196585,NCT01356979,NCT01366261,NCT01472172,NCT01475084"
contiguous stage ii grade 1 follicular lymphoma,"NCT01805037,NCT00040846,NCT01273766,NCT01682044"
cataract surgery,"NCT01227876,NCT01250964,NCT01455233"
clavicle injuries,NCT01555372
restlessness,"NCT01193816,NCT01517932"
humeral diaphysis fracture,NCT01116349
brafv600e melanoma patients,NCT01721603
medulloblastoma,"NCT00520936,NCT00867568,NCT01171469,NCT01331135,NCT01351870,NCT01356290,NCT01483820,NCT01614132,NCT01802567"
ptsd,"NCT02012907,NCT01087736,NCT01157429,NCT01157416,NCT01177488,NCT01220401,NCT01228539,NCT01315379,NCT01324765,NCT01385163,NCT01477762,NCT01501812,NCT01502449,NCT01506323,NCT01512303,NCT01544088,NCT01554839,NCT01601067,NCT01620866,NCT01638741,NCT01678196,NCT01681849,NCT01710306"
mixed hearing loss,NCT01264510
hiv prevention and assessment reactivity,NCT01580657
ophiasic alopecia,NCT01167946
teen dating violence,NCT01672541
organ transplantation from brain dead donors,NCT01544530
aspergers syndrome,"NCT01337700,NCT01602016"
stage iv adult hodgkin lymphoma,"NCT01805037,NCT00025415,NCT00060112,NCT00096161,NCT01273766,NCT00098891,NCT01476410,NCT00003970"
dyspareunia among puerperal women,NCT01319968
hazardous alcohol use,NCT01125371
disease or disorder gynecological,"NCT00086762,NCT01349751,NCT01814579"
ischemic preconditioning,"NCT01118000,NCT01164618"
urticaria,"NCT01170936,NCT01371877,NCT01759693,NCT01805635"
mitral insufficiency,NCT01641614
csu diagnosis for more than 6 months,NCT01723072
head neck cancer squamous cell metastatic,"NCT01449201,NCT01527877"
behavioural disturbances,NCT01608217
morphine induced pruritis,NCT01283477
spinal cord injury,"NCT00594178,NCT00735670,NCT01095380,NCT01112774,NCT01143597,NCT01184365,NCT01201759,NCT01203150,NCT01217008,NCT01217047,NCT01241630,NCT01244594,NCT01292941,NCT01292811,NCT01297673,NCT01299792,NCT01328860,NCT01329757,NCT01279811,NCT01353599,NCT01354158,NCT01355549,NCT01355991,NCT01364480,NCT01368172,NCT01385384,NCT01386762,NCT01393444,NCT01404065,NCT01407354,NCT01432990,NCT01435798,NCT01474148,NCT01479777,NCT01484184,NCT01485458,NCT01491789,NCT01498991,NCT01539109,NCT01567605,NCT01569360,NCT01570816,NCT01572376,NCT01599767,NCT01608438,NCT01621113,NCT01633164,NCT01652040,NCT01714349,NCT01730183,NCT01753882,NCT01765153,NCT01769872,NCT01788969,NCT01831414"
cardiopulmonary bypass,"NCT01120964,NCT01228305,NCT01260259,NCT01267487,NCT01530737,NCT01598883,NCT01828411,NCT01804283"
grasping,NCT01554449
contusions,NCT01097798
peripheral neuropathic pain,NCT01737294
rhinoseptoplasty,NCT01457638
hospital admission duration,NCT01729741
schizophrenia any type,NCT01731119
respiratory distress syndrome rds of neonate,NCT01624012
surgical intervention,NCT01084122
shoulder symptoms after lymph node dissection,NCT01255631
pain due to certain specified procedures,NCT01438008
fallopian tube neoplasms,"NCT00191646,NCT01131039,NCT01228942,NCT01279291"
carcinoma larynx,NCT01124409
interferon deficiency,NCT01760148
major spine surgery procedure,NCT01221961
pain relief after forefoot surgery,NCT01386320
to compare the change in serum and intracellular glutathione levels and vascular function,NCT01251315
langerhans cell histiocytosis,NCT01652092
stage iii lymphoepithelioma of the nasopharynx,NCT00101348
stage ii endometrial carcinoma,NCT01764802
pervasive developmental disorder nos pdd nos with significant irritabilityaggression,NCT01731119
